North,,East,,"gold cut"
8000,,15000,,383
8000,,15100,,317
8000,,15200,,1210
8000,,15300,,213
8000,,15400,,362
8000,,15500,,42
8000,,15600,,240
8000,,15700,,284
8000,,15800,,207
8000,,15900,,166
8000,,16000,,272
8000,,16100,,282
8000,,16200,,262
8100,,15000,,237
8100,,15100,,56
8100,,15200,,244
8100,,15300,,200
8100,,15400,,923
8100,,15500,,188
8100,,15600,,226
8100,,15700,,279
8100,,15800,,222
8100,,15900,,275
8100,,16000,,366
8100,,16100,,300
8100,,16200,,304
8200,,15000,,195
8200,,15100,,262
8200,,15200,,343
8200,,15300,,327
8200,,15400,,218
8200,,15500,,299
8200,,15600,,360
8200,,15700,,451
8200,,15800,,312
8200,,15900,,311
8200,,16000,,298
8200,,16100,,293
8200,,16200,,402
8300,,15000,,168
8300,,15100,,372
8300,,15200,,202
8300,,15300,,348
8300,,15400,,741
8300,,15500,,364
8300,,15600,,438
8300,,15700,,380
8300,,15800,,464
8300,,15900,,366
8300,,16000,,308
8300,,16100,,306
8300,,16200,,150
8400,,15000,,336
8400,,15100,,325
8400,,15200,,196
8400,,15300,,270
8400,,15400,,116
8400,,15500,,211
8400,,15600,,313
8400,,15700,,900
8400,,15800,,125
8400,,15900,,316
8400,,16000,,110
8400,,16100,,145
8400,,16200,,156
8500,,15000,,243
8500,,15100,,0
8500,,15200,,0
8500,,15300,,122
8500,,15400,,135
8500,,15500,,333
8500,,15600,,433
8500,,15700,,349
8500,,15800,,206
8500,,15900,,170
8500,,16000,,143
8500,,16100,,174
8500,,16200,,140
8600,,15000,,0
8600,,15100,,0
8600,,15200,,84
8600,,15300,,108
8600,,15400,,286
8600,,15500,,412
8600,,15600,,555
8600,,15700,,209
8600,,15800,,148
8600,,15900,,160
8600,,16000,,170
8600,,16100,,169
8600,,16200,,194
8700,,15000,,0
8700,,15100,,18
8700,,15200,,102
8700,,15300,,167
8700,,15400,,247
8700,,15500,,313
8700,,15600,,243
8700,,15700,,139
8700,,15800,,93
8700,,15900,,129
8700,,16000,,117
8700,,16100,,176
8700,,16200,,240
8800,,15000,,0
8800,,15100,,16
8800,,15200,,81
8800,,15300,,154
8800,,15400,,207
8800,,15500,,161
8800,,15600,,173
8800,,15700,,136
8800,,15800,,142
8800,,15900,,132
8800,,16000,,232
8800,,16100,,260
8800,,16200,,307
8900,,15000,,19
8900,,15100,,31
8900,,15200,,73
8900,,15300,,153
8900,,15400,,162
8900,,15500,,153
8900,,15600,,154
8900,,15700,,133
8900,,15800,,107
8900,,15900,,130
8900,,16000,,262
8900,,16100,,279
8900,,16200,,431
9000,,15000,,53
9000,,15100,,73
9000,,15200,,88
9000,,15300,,286
9000,,15400,,352
9000,,15500,,178
9000,,15600,,179
9000,,15700,,153
9000,,15800,,131
9000,,15900,,119
9000,,16000,,112
9000,,16100,,326
9000,,16200,,0
9100,,15000,,79
9100,,15100,,79
9100,,15200,,126
9100,,15300,,248
9100,,15400,,221
9100,,15500,,224
9100,,15600,,212
9100,,15700,,188
9100,,15800,,160
9100,,15900,,149
9100,,16000,,249
9100,,16100,,439
9100,,16200,,87
9200,,15000,,85
9200,,15100,,113
9200,,15200,,150
9200,,15300,,207
9200,,15400,,235
9200,,15500,,238
9200,,15600,,213
9200,,15700,,197
9200,,15800,,180
9200,,15900,,183
9200,,16000,,173
9200,,16100,,396
9200,,16200,,186
9300,,15000,,105
9300,,15100,,154
9300,,15200,,170
9300,,15300,,206
9300,,15400,,214
9300,,15500,,209
9300,,15600,,185
9300,,15700,,180
9300,,15800,,184
9300,,15900,,207
9300,,16000,,230
9300,,16100,,217
9300,,16200,,145
9400,,15000,,133
9400,,15100,,196
9400,,15200,,250
9400,,15300,,193
9400,,15400,,186
9400,,15500,,167
9400,,15600,,151
9400,,15700,,155
9400,,15800,,147
9400,,15900,,141
9400,,16000,,0
9400,,16100,,189
9400,,16200,,98
9500,,15000,,150
9500,,15100,,239
9500,,15200,,515
9500,,15300,,185
9500,,15400,,165
9500,,15500,,112
9500,,15600,,120
9500,,15700,,132
9500,,15800,,124
9500,,15900,,223
9500,,16000,,75
9500,,16100,,165
9500,,16200,,100
9600,,15000,,151
9600,,15100,,322
9600,,15200,,218
9600,,15300,,165
9600,,15400,,132
9600,,15500,,116
9600,,15600,,102
9600,,15700,,111
9600,,15800,,112
9600,,15900,,89
9600,,16000,,102
9600,,16100,,84
9600,,16200,,118
9700,,15000,,75
9700,,15100,,183
9700,,15200,,182
9700,,15300,,151
9700,,15400,,132
9700,,15500,,112
9700,,15600,,108
9700,,15700,,107
9700,,15800,,113
9700,,15900,,104
9700,,16000,,0
9700,,16100,,102
9700,,16200,,184
9800,,15000,,86
9800,,15100,,88
9800,,15200,,114
9800,,15300,,93
9800,,15400,,116
9800,,15500,,112
9800,,15600,,121
9800,,15700,,120
9800,,15800,,157
9800,,15900,,70
9800,,16000,,8
9800,,16100,,76
9800,,16200,,0
North,,East,,"gold cut"
